,a_lot,ba,device,wafer_info,device_group,department,package,bond_wire,release,scrapped,ship_package,uk_input,final_test_input,final_test_para_fails,final_test_gross_fails,final_test_output,final_test_yield,delivery_date,quality_id,wps,fa,class_name,cause,comment,edit_user,edit_date,create_user,create_date,operator,tester,workplace,transistor_type,chip_configuration,lead_frame,soft_solder,bond_wire2,article
10,627459,635406,FZT560Q,9Y45SCULL.5: 5(unprobed),VT,SMD,SOT223,AU,True,False,TA,100905.0,100352.0,5426.0,565.0,94361.0,0.940300143494898,2020-10-16 00:00:00.000,1318,True,False,Ausbeute,HFE,WPS 2020/31.,minsung-kim,2020-11-10 07:42:00.040,minsung-kim,2020-11-10 07:41:13.157,,,,pnp,FZT560D,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.254MM,"AU-BETA-DRAHT 0,025 MM",A22181.23.1
11,632602,636056,FZT692BQ,9Z45BULGE.5: 19(probed),MT,SMD,SOT223,AU,True,False,TA,224917.0,225360.0,132.0,534.0,224694.0,0.9970447284345048,2020-11-10 00:00:00.000,1317,False,True,Q-Fehler,ICBO,"1 QF ICBO weiche Kennlinie.

FA: Kontamination in C-B-Graben, vermutlich organisch (Sägewasser).",felix-kannemann,2020-11-09 13:42:14.027,felix-kannemann,2020-11-09 11:53:48.160,,,,npn,FZT653BD,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.30MM,"AU-BETA-DRAHT TYP 0,050 MM",A221E1.21.1
12,629226,635724,ZXTN08400BFF,9Z45BAKED.5: 23(unprobed),MT,SMD,SOT23F,CU,False,False,TA,259600.0,258048.0,3291.0,119.0,254638.0,0.986785404265873,2020-11-13 00:00:00.000,1316,False,True,Q-Fehler,IEBO,"23 QF IEBO 20...<100nA.

FA: 4 BE geöffnet, verschiedene Partikel in EB-Gräben.

1x organisch/Sägewasser.

1x Si-Partikel (Sägeausbruch).

<font color=red>IEBO fehlt in Testprogramm: NM 3k mit IEBO (siehe Q1315).

<font color=""#9BBB59"">Freigabe HHA.",martin-krausse,2020-11-13 16:26:21.343,felix-kannemann,2020-11-09 11:52:18.097,287; 328; 328; 293; 328,HP40141N; HP40141N; HP40141N; HP40141N; HP40141N,484; 484; 484; 484; 484,npn,,TRÄGERBAND TB 301-6 6-row,,"PD PRO DRAHT 0,038 MM Reißlast",A204L1.682.4
13,627412,635373,ZXTN08400BFF,9Z44MARLS.7: 1(ringprobed); 9Z44MARLS.6: 22(unprobed),MT,SMD,SOT23F,CU,False,False,TA,259193.0,258048.0,3174.0,1481.0,253393.0,0.9819607204861112,2020-11-13 00:00:00.000,1315,False,True,Q-Fehler,IEBO,"58 QF IEBO 20...<100nA.

FA: 4BE geöffnet: 2x Chipkleber auf EB-Graben, 2x anderweitige Kontamination.

<font color=red>IEBO fehlt in Testprogramm:.

<font color=red>Update Testprogramm mit IEBO .

<font color=red>3,8k NM: 4x IEBO Ausfälle (zwischen 21…600nA).

<font color=""#9BBB59"">Freigabe HHa.",martin-krausse,2020-11-13 16:26:05.687,felix-kannemann,2020-11-09 11:49:07.110,293; 328; 287; 293; 293,HP40141N; HP40141N; HP40141N; HP40141N; HP40141N,484; 484; 484; 484; 484,npn,,TRÄGERBAND TB 301-6 6-row,,"PD PRO DRAHT 0,038 MM Reißlast",A204L1.682.4
14,631128,635922,FMMT614-7-55,9Z45LOFTS.6: 6(unprobed),HT,SMD,SOT23,AU,False,True,TA,171428.0,,,,,,,1314,False,True,Ausbeute,"Chipkante ausgebrochen, teilweise Chips gerissen","TP1+2: Shorts <0,1%.

CE-Probleme ICBO-Bin ebenfalls erhöht (noch unter MPE-Limit).

<font color=red>FA: ausgebrochene Chipkanten und teilweise Chip gerissen (Die collet).

<font color=red>TP1+2 verschrotten (IH).

<font color=red>TP6 nicht NY (unter Yield Limit).",martin-krausse,2020-11-11 15:15:52.727,martin-krausse,2020-11-09 11:01:32.363,322; 231; 236; 231; 289; 231,AOT40101; AOT40101; AOT40101; AOT40101; AOT40101; AOT40101,105; 105; 105; 105; 105; 105,npn,ZTX614C,TRÄGERBAND TB 401 LS-N  85 my,,"AU-BETA-DRAHT 0,025 MM",A16151.34.4
15,626133,635110,ZXTN08400BFF,9Z41BIRTH.6: 20(unprobed); 9Z41BIRTH.7: 1(ringprobed),MT,SMD,SOT23F,CU,True,False,TA,236193.0,235523.0,1183.0,811.0,233529.0,0.9915337355587353,2020-11-05 00:00:00.000,1313,False,True,Q-Fehler,IEB0,"TP2: 15QF (6/15 i.O., 9/15 IEB0-Ausfall).

TP3: 10QF (1/10 i.O., 9/10 IEB0-Ausfall).

TP4: 3QF &nbsp;&nbsp;(3/3 IEB0-Ausfall).

FA TH: keine offensichtlichen AF (IEB0-Ausfälle typisch für diesen Typ).

Freigabe HHa.",tobias-hofmann,2020-11-04 15:39:27.410,tobias-hofmann,2020-11-04 11:42:37.087,322; 293; 236; 322,HP40141N; HP40141N; HP40141N; HP40141N,484; 484; 484; 484,npn,,TRÄGERBAND TB 301-6 6-row,,"PD PRO DRAHT 0,038 MM Reißlast",A204L1.682.4
16,631134,635928,FMMT720,9Z30ALIVE.5: 7(unprobed),ST,SMD,SOT23,CU,True,False,TA,133676.0,42000.0,,,42000.0,1.0,2020-11-06 00:00:00.000,1312,False,True,Ausbeute,Blown on test,"Blown on test 1%; unprobed Wafer.

EB-Kurzschluss.

braucht Aufmachen.

FA TH: Bondkugel versetzt gebondet-< <font color=red>Sperre für alle Teilposten2,3.

<font color=""#A7DA4E"">TP1 unauffällig: Freigabe HHa.

<font color=red>TP2+TP3 verschrotten: IH.",tobias-hofmann,2020-11-05 16:01:40.063,minsung-kim,2020-11-04 08:12:47.347,275; 289; 236,HP40186; HP40186; HP40186,1023; 1023; 1023,pnp,,TRÄGERBAND TB 401 LS-N  85 my,,"KUPFERBONDDRAHT 0,038 MM",A164I1.432.4
17,626132,635109,ZXTN08400BFF,9Z38PELTS.7: 12(unprobed),MT,SMD,SOT23F,CU,True,False,TA,134580.0,133632.0,277.0,437.0,132918.0,0.9946569683908046,2020-11-04 00:00:00.000,1311,False,True,Q-Fehler,IEB0,"1QF FA TH.

FA: kein offensuchtlicher AF.

Ausbeute ins. 99,5%-<Freigabe HHa.",tobias-hofmann,2020-11-03 12:04:07.447,tobias-hofmann,2020-11-03 12:01:51.840,322; 236; 231,HP40141N; HP40141N; HP40141N,484; 484; 484,npn,,TRÄGERBAND TB 301-6 6-row,,"PD PRO DRAHT 0,038 MM Reißlast",A204L1.682.4
18,631176,635957,ZXMS6006SGQ,9Z29MITES.5: 14(probed),SVMOS,SMD,SOT223,AU,True,False,TA,61211.0,60148.0,7595.0,8.0,52545.0,0.8735951320077143,2020-11-04 00:00:00.000,1310,False,False,Ausbeute,Ttrip,"GW (Ttrip); Ttrip ist über der Obergrenze.

eine Charge vom gleichen Wafer hat das gleiche Problem (623402, Ausbeute: 93.8%) &nbsp;.",minsung-kim,2020-11-03 08:03:23.230,minsung-kim,2020-11-03 07:59:42.787,,,,,,LEADFRAME DZN 2012 (spot Ag),MICROBOND SOFT SOLDER WIRE 0.50MM,"GOLDDRAHT 0,033 MM",A222H1.17.1
19,631178,635959,ZXTN25100DG,9Z03MYOPE.7: 7(probed),SS6,SMD,SOT223,PD,False,False,TA,145650.0,,,,,,,1309,False,True,Prozessfehler,Cratering an E-Bondpad,"~60% Yield.

&quot;falscher&quot; Draht sollte eigentlich nur noch mit Gold gebondet werden.

&nbsp;Hfe (+IEBO) bzw. ICBO, ICEV (cratering Verdacht, da mit CuPd Draht).

1 QJ (EB-Schluss).

<font color=red>FA: Cratering (erst nach Sirtl Ätzen).

<font color=red>Verschrotten: IH.",martin-krausse,2020-11-05 13:22:06.280,martin-krausse,2020-11-02 13:01:50.137,,,,npn,,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.254MM,"PD PRO DRAHT 0,043 MM Reißlast",A226V1.318.1
20,631177,635958,ZXTN25100DG,9Z03MYOPE.7: 6(probed),SS6,SMD,SOT223,PD,True,False,TA,126042.0,125256.0,306.0,930.0,124020.0,0.9901322092354857,2020-11-02 00:00:00.000,1308,False,True,Q-Fehler,"IEB0,VCESAT","1QF durch Partikel.

anderer QF. kein offensichtlicher AF.

Freigabe.",tobias-hofmann,2020-11-02 15:23:55.547,tobias-hofmann,2020-11-02 08:19:17.657,,,,npn,,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.254MM,"PD PRO DRAHT 0,043 MM Reißlast",A226V1.318.1
21,629316,635768,FZT853,9Z43DOUBT.4: 3(ringprobed); 9Z43DOUBT.3: 10(probed),HT,SMD,SOT223,CU,True,False,TA,64797.0,64506.0,421.0,1142.0,62943.0,0.9757696958422473,2020-11-03 00:00:00.000,1307,False,True,Ausbeute,IEBO,"TA ~2%(IEBO); probed/ringprobed Wafer. Unpassiviert.

Die Hauptfehler im Wafertest sind HFE/IEBO/BVEBO.

10/10 von TA ist EB-Kurzschluss. 10/10 von GW hat hoch IEBO (Limit: 10nA, Werte: ~100nA).

Gut aus Sicht des Tests.

4 QF geöffnet: 2x Partikel in EB-Graben, 2x anderweitige Kontamination, 1x Lotspritzer Chipkante.

<font color=""#22B14C"">Freigabe HHa.",felix-kannemann,2020-10-30 13:01:25.123,minsung-kim,2020-10-30 07:36:27.607,,,,npn,FZT853D,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.50MM,"KUPFERBONDDRAHT 0,043MM",A224P1.322.1
22,629315,635767,FZT851,9Z44TAXED.3: 5(ringprobed),HT,SMD,SOT223,CU,True,False,TA,24433.0,24336.0,745.0,126.0,23465.0,0.9642094017094017,2020-10-27 00:00:00.000,1306,False,False,Ausbeute,HFE,"GW 3.06% &nbsp;(HFE); ringprobed Wafer. Die Ausbeute im Wafertest: 82~91%.

&nbsp;Der Hauptfehler ist gleich im Wafertest.",minsung-kim,2020-10-28 14:26:05.940,minsung-kim,2020-10-28 14:23:57.897,,,,npn,FZT851D,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.50MM,"KUPFERBONDDRAHT 0,043MM",A224P1.322.1
23,629318,635770,FZT953,9Z44ENDED.5: 23(unprobed),HT,SMD,SOT223,CU,True,False,TA,119006.0,122974.0,1431.0,4346.0,117197.0,0.9530225901410054,2020-11-02 00:00:00.000,1305,False,True,Ausbeute,BVEBO,"&nbsp;TA; unprobed Wafer. Alle Wafer sind nicht geinkt.

TA von TP1: 4.4%. 12/20 von TA ist leer. 8/20 ist EB-Kurzschluss.

TP1: 2QF mit EB-Kurzschluss.

TP2: 1QF mit EB-Kurzschluss.

FA: keine Partikel gefunden.

<font color=""#22B14C"">Freigabe HHa.",felix-kannemann,2020-10-30 12:59:49.687,minsung-kim,2020-10-28 07:58:36.573,,,,pnp,FZT953D,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.50MM,"KUPFERBONDDRAHT 0,043MM",A224P1.322.1
24,627466,635413,FZT855,9Y44CADGE.5: 4(unprobed),HT,SMD,SOT223,CU,True,False,TA,21107.0,21010.0,572.0,1086.0,19352.0,0.9210851975249881,2020-10-27 00:00:00.000,1304,False,True,Q-Fehler,BVEBO,"1 QF BVEBO -< Q-Tester nur IEBO.

92% Ausbeute: ~5% IEBO/BVEBO.

FA QF: Kontamination auf Chipoberfläche BE-Graben überbrückend.",felix-kannemann,2020-10-27 11:40:28.907,felix-kannemann,2020-10-27 09:01:46.400,,,,npn,FZT855D,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.50MM,"KUPFERBONDDRAHT 0,043MM",A224P1.322.1
25,629317,635769,FZT948,9Z40TOKYO.5: 1(probed); 9Z40TOKYO.6: 11(unprobed),HT,SMD,SOT223,CU,True,False,TA,61362.0,60388.0,1753.0,1721.0,56914.0,0.9424720143074783,2020-10-27 00:00:00.000,1303,False,True,Q-Fehler,BVEBO,"3 QF BVEBO.

94% Ausbeute: ~3% IEBO/BVEBO.

FA: QF1 Partikel in EB-Graben.

QF2 Kontamination Chipoberfläche.",felix-kannemann,2020-10-27 11:42:30.857,felix-kannemann,2020-10-27 09:00:07.410,,,,pnp,FZT948D,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.50MM,"KUPFERBONDDRAHT 0,043MM",A224P1.322.1
26,629242,635738,FMMT722,9Z21THINE.4: 6(unprobed),ST,SMD,SOT23,CU,True,True,TA,113338.0,66000.0,,,66000.0,1.0,2020-11-02 00:00:00.000,1302,False,True,Ausbeute,Blown on test,"Blown on Test 3.8% (TP1); nur TP1 hat hoch blown on test.

4k NM auf 105 ca 5% Ausfälle (GW, TA,BoT): BVCEO ~0,5V.

FA: Bondkugeln versetzt (konsistenter Offset)-< Collector-Emitter Kurzschlüsse.

-<<font color=red> Kapillaroffset?.

<font color=red>TP1 Verschrotten.",felix-kannemann,2020-10-30 12:58:26.623,minsung-kim,2020-10-26 11:16:09.047,236; 304,HP40171; HP40171,250; 250,pnp,FMMT722C,TRÄGERBAND TB 401 LS-N  85 my,,"KUPFERBONDDRAHT 0,038 MM",A164I1.432.4
27,627502,635415,FZT953,9Z40CHASE.6: 1(ringprobed); 9Z43LEMMA.5: 24(unprobed),HT,SMD,SOT223,CU,True,False,TA,130263.0,128304.0,309.0,1441.0,126554.0,0.9863605187679262,2020-10-26 00:00:00.000,1301,False,False,Ausbeute,IEBO,In der Charge ist 24/25 9Z43LEMMA (unprobed). Beim Wafertest ist der Hauptfehler IEBO (1.04%).,felix-kannemann,2020-10-26 11:25:44.730,felix-kannemann,2020-10-26 10:53:38.337,,,,pnp,FZT953D,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.50MM,"KUPFERBONDDRAHT 0,043MM",A224P1.322.1
28,627447,635402,ZHT431F02,9Z32JACKS.15: 4(ringprobed),IC,SMD,LFSOT23,AU,True,False,TA,80452.0,80086.0,1285.0,155.0,78646.0,0.9820193292210874,2020-10-26 00:00:00.000,1300,False,False,Ausbeute,Vref,GW 1.6% (Vref); ringprobed Wafer. Vref (bin 13) von TP1 ist 2%. 15/15 von GW ist leer und das entspricht PBK (etwa 1000 leer von TP1).,minsung-kim,2020-10-26 09:56:02.843,minsung-kim,2020-10-26 09:53:49.127,328; 275; 287; 304,AOT40101; AOT40101; HP40186; HP40186,105; 105; 1023; 1023,,ZR43102XF,LEADFRAME DZN 1020,,"GOLDDRAHT 0,022MM",A171N1.72.4
29,627503,635416,FZT955,9Z43PROWL.4: 21(unprobed),HT,SMD,SOT223,CU,True,False,TA,110053.0,109698.0,734.0,4177.0,104787.0,0.9552316359459607,2020-10-27 00:00:00.000,1298,False,True,Q-Fehler,"BVEBO, IEBO","94k TP1-4 auf 368: 9 QF, davon 6x BVEBO -< Partikel.

3x wieder gut an Q-Tester / nur IEBO -< 1x auch Partikel.

BVEBO-Ausfälle aus TA (~2%) geöffnet: Waferdefekt .

25k TP 4&amp;5 auf 161 wegen Problem an 368: keine QF.

wafer unprobed/unpassiviert, ~95% gesamt-Ausbeute.

<font color=""#22B14C"">Freigabe HHa.",felix-kannemann,2020-10-26 14:58:36.540,felix-kannemann,2020-10-26 09:50:29.707,,,,pnp,FZT955D,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.50MM,"KUPFERBONDDRAHT 0,043MM",A224P1.322.1
30,623406,634866,ZVN4210A,9Z26KLICK.4: 4(probed),MOSFET-M,SMD,ELineX,AU,True,False,STZ,52655.0,52477.0,2037.0,67.0,50373.0,0.9599062446405092,2020-10-29 00:00:00.000,1297,False,False,Ausbeute,RDSon,"GW (RDSon); RDSon hat beim Lorlin-Tester die Obergrenze überschritten, aber beim Q-Tester sind alle Fälle gut. .",minsung-kim,2020-10-26 08:57:31.610,minsung-kim,2020-10-26 08:55:37.040,,,,n-Kanal,,TRÄGERSTREIFEN EP3,,"AU-BETA-DRAHT 0,025 MM",A19I1.606.6
31,627504,635417,FZT955-79,9Z43PROWL.4: 4(unprobed),HT,SMD,SOT223,AU,True,False,TA,20830.0,13991.0,58.0,647.0,13286.0,0.9496104638696304,2020-10-27 00:00:00.000,1296,False,False,Ausbeute,IEBO,"TA ~3% (IEBO); unprobed Wafer (unpassiviert); Der Hauptfehler (IEBO) ist der gleiche wie beim Wafertest.

Freigabe H.Ha.",minsung-kim,2020-10-26 08:48:26.440,minsung-kim,2020-10-26 08:45:43.807,,,,pnp,FZT955D,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.50MM,"GOLDDRAHT 0,045 MM",A222P1.22.1
32,629314,635766,FZT851,9Z39NOVEL.6: 1(unprobed); 9Z39LOCKS.3: 1(probed); 9Z39LOCKS.5: 1(probed),HT,SMD,SOT223,CU,True,False,TA,14774.0,14688.0,671.0,524.0,13493.0,0.9186410675381264,2020-10-27 00:00:00.000,1295,False,False,Ausbeute,HFE,"GW ~4% (HFE); unprobed(1)/probed(2) Wafer. Beim Q-Tester liegt HFE &nbsp;über der Obergrenze und der Hauptfehler ist gleich im Wafertest (HFE).

90% von TA(~3%) ist leer beim Q-Tester (9/10- das entspricht PBK).

Freigabe H.Ha.",minsung-kim,2020-10-26 08:45:18.617,minsung-kim,2020-10-26 08:37:19.047,,,,npn,FZT851D,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.50MM,"KUPFERBONDDRAHT 0,043MM",A224P1.322.1
33,621707,634561,FMMT614-7-55,9Z41COVEN.4: 5(unprobed),HT,SMD,SOT23,AU,True,False,TA,142121.0,139604.0,185.0,306.0,139113.0,0.9964829087991748,2020-10-23 00:00:00.000,1294,False,True,Ausbeute,BVCEO,Feigabe. H.Ha.,minsung-kim,2020-10-23 11:49:26.100,felix-kannemann,2020-10-22 11:53:02.773,231; 231; 231; 287; 287; 287; 287; 304,AOT40101; AOT40101; AOT40101; HP40186; HP40186; HP40186; HP40186; HP40186,105; 105; 105; 1023; 1023; 1023; 1023; 1023,npn,ZTX614C,TRÄGERBAND TB 401 LS-N  85 my,,"AU-BETA-DRAHT 0,025 MM",A16151.34.4
34,618120,633890,ZXMS6002G,9Z42LURKS.5: 5(ringprobed),SVMOS,SMD,SOT223,AU,True,False,TA,27204.0,27056.0,4256.0,268.0,22532.0,0.8327912477823773,2020-10-22 00:00:00.000,1292,False,True,Q-Fehler,"IDSS, BVDSS","2 QF IDSS (1x 4µA, 1x < 20µA Anschlag) -< BVDSS.

FA: Bonddraht zu mittlerem Pin (Status) durchgebrannt.

<font color=black>falsche Messfassung/Messprogramm -< Status-Pin auf D-Potential -< BE bei retest an Q-Tester zerstört.",felix-kannemann,2020-10-21 14:23:58.503,felix-kannemann,2020-10-21 09:22:26.110,,,,,BSP75ND,TRÄGERBAND TB 4405-B,MICROBOND SOFT SOLDER WIRE 0.50MM,"AU-BETA-DRAHT 0,025 MM",A22171.17.1
35,626316,635136,ZLDO485T8,9Y51ROUGE.9: 1(ringprobed); 9Z40HEWED.2: 2(probed),1LT/1IC,SMD,SM8,AU,True,False,TA,16199.0,19088.0,1085.0,313.0,17690.0,0.9267602682313495,2020-10-20 00:00:00.000,1291,False,False,Ausbeute,Vout,"GW 5.68% (Vout); die durchschnittliche Ausbeute aller vorherigen Chargen: &nbsp;80.4%.

Der Hauptfehler ist Vout wie in den vorherigen Chargen.",minsung-kim,2020-10-20 07:48:36.200,minsung-kim,2020-10-20 07:45:54.273,,,,,FZT718XD,TRÄGERBAND TB 4408-B,MICROBOND SOFT SOLDER WIRE 0.254MM,"AU-BETA-DRAHT 0,025 MM",A231I1.91.1
